751088724.6800538 | lookahead: 4
773343253.3079616 | lookahead: 36
771085094.4513701 | lookahead: 16
762457013.5321552 | lookahead: 11
760064457.9506131 | lookahead: 10
779482943.9963825 | lookahead: 25
749568436.8771164 | lookahead: 6
773997081.6383401 | lookahead: 19
743156259.0751852 | lookahead: 1
772217129.6942935 | lookahead: 38
747313777.7495595 | lookahead: 2
778097653.3824193 | lookahead: 30
779272352.7408241 | lookahead: 27
754827774.7331208 | lookahead: 7
750352765.5875717 | lookahead: 3
769174863.5555805 | lookahead: 12
774166523.7663941 | lookahead: 31
770768111.4988112 | lookahead: 17
754062508.067342 | lookahead: 5
776892472.8522481 | lookahead: 18
780973686.0855936 | lookahead: 26
773616259.502795 | lookahead: 35
778491191.0386982 | lookahead: 29
759273350.1172094 | lookahead: 9
764112211.8550689 | lookahead: 13
779010443.6792327 | lookahead: 24
773041894.2150422 | lookahead: 20
768864907.4204425 | lookahead: 15
772743765.9373345 | lookahead: 34
774027083.6063462 | lookahead: 33
769148020.2597517 | lookahead: 39
772437970.8429066 | lookahead: 37
764070147.9231776 | lookahead: 14
777027255.3554691 | lookahead: 32
778034017.4276489 | lookahead: 22
774814333.4854012 | lookahead: 21
764661288.0911239 | lookahead: 40
781738785.8385866 | lookahead: 28
778791636.10865 | lookahead: 23
759840320.4282992 | lookahead: 8

718593228.4802501 | k: 47
792023386.5536567 | k: 20
783431423.9485298 | k: 37
797252672.7224344 | k: 24
784599731.7477854 | k: 14
792903265.8647288 | k: 31
770553946.6703944 | k: 40
685522446.7984775 | k: 50
792921643.8411623 | k: 30
797404152.0719556 | k: 28
801745018.2022877 | k: 26
798934701.2837332 | k: 27
796483629.8717376 | k: 22
782016290.8031625 | k: 13
756966202.4587178 | k: 42
765224607.4198194 | k: 41
785874861.5430309 | k: 15
705878592.4958196 | k: 48
785006518.7582881 | k: 16
751971045.5250055 | k: 43
779455247.3741926 | k: 11
776732255.1531882 | k: 39
736808152.9074674 | k: 45
797027446.3314992 | k: 23
777893739.530458 | k: 10
789402232.776605 | k: 35
788781112.0006802 | k: 36
788431645.9163301 | k: 18
786655684.6697251 | k: 19
725720167.138241 | k: 46

813794118.3034323 | k: 0.38
817927299.5181731 | k: 0.05
816802662.5167626 | k: 0.23
814958053.3091925 | k: 0.26
782020566.4554644 | k: 0.01
816560771.4566537 | k: 0.1
814788182.6817187 | k: 0.33
811995486.9551235 | k: 0.4
819494357.4518862 | k: 0.3
823044239.8706124 | k: 0.19
819388062.9089786 | k: 0.13
823644257.519966 | k: 0.2
817561428.040689 | k: 0.12
809648879.6690698 | k: 0.02
818565868.7548747 | k: 0.22
814639245.7492455 | k: 0.36
813599732.5523008 | k: 0.37
816345677.5561788 | k: 0.24
818943465.5414081 | k: 0.29
819005001.9383509 | k: 0.31
811475568.2745993 | k: 0.03
819315617.7686634 | k: 0.21
823571148.5178946 | k: 0.18
819243185.643691 | k: 0.14
814055867.0365936 | k: 0.07
816700742.9180813 | k: 0.06

822671052.7344058 | k: 13
804487786.601795 | k: 37
821523634.7681503 | k: 15
822156396.4623371 | k: 11
823311022.2509913 | k: 16
820716429.598483 | k: 32
813040945.1878778 | k: 35
827988432.1348853 | k: 21
822005157.0208464 | k: 28
797841740.5579656 | k: 39
822998756.700954 | k: 12
824958953.9325826 | k: 24
822224994.3101623 | k: 29
819570109.5171181 | k: 7
824084410.2532675 | k: 27
819137507.1859214 | k: 6
814938262.0520827 | k: 4
827782666.9506738 | k: 22
822560165.8697304 | k: 18
805296608.3269173 | k: 36
785024016.218418 | k: 40
814663524.6444578 | k: 34
822407118.6135186 | k: 10
815739913.0357932 | k: 5
804900137.4401286 | k: 1
809513721.4083085 | k: 2
827922231.4776254 | k: 23
823482228.0920027 | k: 19
826205750.1689357 | k: 25
828145937.769467 | k: 20
823133183.0556345 | k: 17
820533443.2908335 | k: 9
821344564.2394252 | k: 14
810361645.2947669 | k: 3
821524614.2253001 | k: 33
822889100.754971 | k: 26
821758697.405032 | k: 30
820421604.4649205 | k: 8
821551089.7742605 | k: 31
796926887.918484 | k: 38

820995506.352528 | lookahead: 10
828209958.3415996 | lookahead: 28
818170969.3836514 | lookahead: 14
824779100.0302185 | lookahead: 18
826538128.4010451 | lookahead: 23
831167035.9936136 | lookahead: 20
819576182.472794 | lookahead: 12
827250555.0266075 | lookahead: 22
820792775.4945154 | lookahead: 15
815314646.5560706 | lookahead: 13
822106915.143485 | lookahead: 29
826298118.9926716 | lookahead: 30
828732540.9843615 | lookahead: 27

